about half an hour

{'loss': '3.618', 'grad_norm': '0.9819', 'learning_rate': '0.0002', 'epoch': '0.02286'}
{'loss': '3.757', 'grad_norm': '1.162', 'learning_rate': '0.0001992', 'epoch': '0.02667'}
{'loss': '3.917', 'grad_norm': '2.597', 'learning_rate': '0.0001984', 'epoch': '0.03048'}
{'loss': '3.93', 'grad_norm': '1.46', 'learning_rate': '0.0001977', 'epoch': '0.03429'}
{'loss': '3.403', 'grad_norm': '1.698', 'learning_rate': '0.0001969', 'epoch': '0.0381'}
{'eval_loss': '3.456', 'eval_runtime': '50.5', 'eval_samples_per_second': '10.42', 'eval_steps_per_second': '2.614', 'epoch': '0.0381'}
{'loss': '3.232', 'grad_norm': '1.303', 'learning_rate': '0.0001961', 'epoch': '0.0419'}
{'loss': '3.384', 'grad_norm': '1.581', 'learning_rate': '0.0001953', 'epoch': '0.04571'}
{'loss': '3.676', 'grad_norm': '2.007', 'learning_rate': '0.0001946', 'epoch': '0.04952'}
{'loss': '3.478', 'grad_norm': '1.501', 'learning_rate': '0.0001938', 'epoch': '0.05333'}
{'loss': '3.674', 'grad_norm': '1.808', 'learning_rate': '0.000193', 'epoch': '0.05714'}
{'loss': '3.526', 'grad_norm': '1.722', 'learning_rate': '0.0001922', 'epoch': '0.06095'}
{'loss': '3.435', 'grad_norm': '1.475', 'learning_rate': '0.0001915', 'epoch': '0.06476'}
{'loss': '3.059', 'grad_norm': '1.697', 'learning_rate': '0.0001907', 'epoch': '0.06857'}
{'loss': '3.316', 'grad_norm': '1.94', 'learning_rate': '0.0001899', 'epoch': '0.07238'}
{'loss': '3.214', 'grad_norm': '1.426', 'learning_rate': '0.0001891', 'epoch': '0.07619'}
{'eval_loss': '3.186', 'eval_runtime': '50.09', 'eval_samples_per_second': '10.5', 'eval_steps_per_second': '2.635', 'epoch': '0.07619'}
{'loss': '3.384', 'grad_norm': '1.451', 'learning_rate': '0.0001884', 'epoch': '0.08'}
{'loss': '3.646', 'grad_norm': '2.7', 'learning_rate': '0.0001876', 'epoch': '0.08381'}
